artistid,avg_comp-score
1,0.410428571
2,-0.535836364
3,0.384815385
4,0.1678875
5,-0.9796
6,0.9485
7,-0.697566667
8,0.521583333
9,-0.125016667
10,0.8215
11,0.15512
12,-0.0921875
13,0.9826
14,0.43129
15,0.46938
16,0.8678
17,-0.09125625
18,0.25
19,0.415029167
20,-0.004664706
21,0.9959
22,-0.487561905
24,0.9969
25,0.528721622
26,0.442119753
27,0.8862
28,0.670409804
29,0.80304
30,0.612520833
31,0.377914286
32,-0.1007
33,0.451262121
34,0.9385
35,0.218741667
36,0.504659649
37,-0.425158824
38,0.674051852
39,0.8402
40,0.8689
42,0.9971
43,-0.24154375
44,-0.1286375
45,-0.6212
46,-0.8439
47,0.8612
48,-0.3261375
50,-0.5267
51,0.07595
52,0.0685
53,0.8738
54,-0.988205556
55,0.101769565
56,0.1658125
57,0.159538889
58,-0.999
59,-0.216048387
60,0.9929
61,-0.9092
62,0.8802
63,0.599914286
64,0.556104478
65,0.6449
66,0.173183333
67,0.107428571
68,0.125663415
69,-0.893675
70,-0.4536
71,-0.397721429
72,-0.868043478
73,-0.61025625
74,0.330628571
75,-0.39175625
76,-0.33604
78,-0.9537
79,-0.8109375
80,0.159137838
81,0.22445102
82,0.570004255
83,-0.705073333
84,0.388178049
85,0.978
86,0.624216667
87,-0.959325
88,0.8878
91,-0.9199
92,0.781885714
93,0.344486667
94,0.667125
95,-0.441616667
96,0.9798
97,0.7861
98,0.094571111
99,0.059816667
100,-0.9586
101,-0.918
102,0.17698
103,0.2198
104,0.0051
105,0.8843
106,0.179111111
107,0.307365385
108,0.802
109,-0.5994
110,0.144671429
111,-0.44186
113,-0.028816667
114,-0.993
115,-0.9879
116,-0.91265
118,0.992533333
119,0.727125
120,0.108685714
121,0.5865
122,-0.087055556
124,0.194547059
125,-0.09724
126,-0.1726375
127,0.057604167
128,-0.16715
129,-0.191838462
130,-0.27082
131,0.550868421
132,0.702866667
133,0.5719
134,0.570466667
135,0.60018
136,0.91975
137,0.5719
138,-0.435041463
139,-0.9349
140,-0.128
141,-0.462211111
142,-0.296
143,-0.296
144,0.9803
145,0.170687324
146,0.900542857
148,-0.4215
149,0.2008175
150,-0.2114
151,0.386952941
152,0.559165833
155,0.836533333
156,0.016733333
157,0.476952
159,-0.7783
160,0.7775
161,0.99
162,0.9505
163,0.91955
164,0.688033333
165,0.9153
167,0.973
168,0.462392941
169,-0.1081
170,0.051932558
171,0.8957
172,-0.5267
173,0.356113208
174,0.973
175,0.9749
176,0.8406
177,-0.6217
178,0.031830612
179,-0.230193548
180,-0.500433333
181,-0.9876
182,0.39095
183,0.9843
184,0.996
185,-0.8316
186,-0.26555
187,0.529764706
188,0.2896875
189,0.8948
190,0.50931
191,-0.601008511
192,-0.408
193,0.8717
195,0.9899
196,0.84165
197,-0.9978
198,-0.9896
199,-0.9309
200,0.058168571
201,-0.9651
202,-0.0405
204,-0.6808
205,0.51212
206,0.3453
207,-0.08735
208,-0.89795
209,0.23405
210,0.3636125
211,0.031038889
212,-0.217238806
213,-0.9845
214,0.513216667
215,-0.036731579
216,0.83445
218,0.9912
219,0.9829
220,0.113486957
221,0.494321739
222,0.5625
223,-0.478277778
224,0.029385294
227,-0.322841667
228,0.829716
229,0.218881633
230,0.1684
231,-0.7611
232,-0.109568421
233,0.503910909
234,0.35104
235,0.669355556
236,0.11085
237,0.4939
239,-0.6204
240,-0.7096
242,0.188595652
243,0.141653448
244,0.5994
245,0.398775
246,0.747341667
247,-0.9508
248,0.2406
249,-0.567
250,-0.8801
251,-0.9508
252,-0.9136
253,-0.7527
254,-0.920133333
255,0.9897
256,0.26758125
257,0.266789344
258,-0.5994
259,-0.5994
260,0.9808
261,-0.370646667
262,-0.20891
263,-0.22225
265,0.9462
266,-0.54868
267,0.6249
268,0.222557143
269,0.798966667
270,0.068033333
271,0.229366667
272,0.5282
273,0.377644
274,0.3432875
275,0.533533333
276,0.153266667
277,0.9927
278,0.83425
279,-0.9924
280,-0.3142
281,-0.8841
282,-0.697478571
283,0.298018605
284,-0.7574
285,-0.704840625
286,0.428318902
287,0.1111
288,0.697845455
289,0.0895375
290,0.268368
291,0.38313
292,0.5815
293,0.9738
294,0.9179
295,0.396995
296,0.9979
297,0.78835
298,-0.349196667
299,-0.171786885
300,0.55175
301,0.4876875
